address,area,year,floors,entrance,flats,latitude,longitude
"ул. Высокая, д. 4, Москва",18068.00,2004,17,5,310,55.67868657,37.652921
"ул. Газопровод, д. 11, к. 2, Москва",7644.30,2002,17,2,128,55.59072407,37.6082925
"ул. Гарибальди, д. 3, Москва",31642.80,2006,17,4,178,55.67789957,37.5357715
"ул. Генерала Глаголева, д. 7, к. 2, Москва",13508.20,2015,17,2,200,55.78096257,37.4601875
"ул. Генерала Тюленева, д. 31, к. 1, Москва",15102.50,2002,17,4,264,55.61718457,37.491835
"ул. Героев Панфиловцев, д. 7, к. 5, Москва",12790.00,2007,17,3,194,55.85566907,37.434442
"ул. Главмосстроя, д. 4, к. 1, Москва",7748.00,2007,17,1,128,55.65113507,37.4100795
"ул. Главмосстроя, д. 9, Москва",80479.00,2006,17,7,412,55.65570607,37.40601
"ул. Главмосстроя, д. 22, к. 1, Москва",14823.10,2008,17,2,183,55.65605207,37.408831
"ул. Грекова, д. 7, Москва",25764.00,2003,17,7,427,55.89044107,37.660943
"ул. Грекова, д. 18, к. 1, Москва",6522.70,2014,17,2,131,55.89031507,37.664707
"ул. Гризодубовой, д. 1, к. 2, Москва",4946.60,2006,17,1,64,55.78184357,37.5331395
"ул. Гризодубовой, д. 1, к. 4, Москва",4922.20,2006,17,1,64,55.78160057,37.5321155
"ул. Грина, д. 1, к. 7, Москва",8769.10,2004,17,2,128,55.55983207,37.585206
"ул. Грина, д. 14, Москва",6242.30,2004,17,2,133,55.56439357,37.5812355
"ул. Грина, д. 18, Москва",20990.80,2003,17,4,256,55.56496907,37.5796815
"ул. Грина, д. 20, Москва",9894.70,2002,17,2,134,55.56544257,37.5786755
"ул. Гурьянова, д. 2, к. 1, Москва",16919.30,2006,17,5,288,55.69319057,37.7221365
"ул. Гурьянова, д. 8, к. 1, Москва",29334.50,2008,17,5,384,55.69011607,37.7178605
"проезд. Дежнева, д. 22, к. 4, Москва",6211.00,2008,17,2,128,55.87264707,37.634227
"проезд. Дежнева, д. 30, Москва",7452.00,2016,17,2,128,55.87146057,37.6330685
"б-р. Дмитрия Донского, д. 11, к. 2, Москва",19324.80,2002,17,5,333,55.56618557,37.5786125
"ш. Дмитровское, д. 74, к. 1, Москва",20190.70,2015,17,6,321,55.86046857,37.5561815
"ш. Дмитровское, д. 96, к. 1, Москва",16253.00,2008,17,5,320,55.87659157,37.5482855
"ш. Дмитровское, д. 165Д, к. 4, Москва",10244.00,2008,17,4,196,55.92240357,37.542599
"ш. Дмитровское, д. 165Е, к. 12, Москва",15827.00,2008,17,6,312,55.92793657,37.5454465
"ш. Дмитровское, д. 169, к. 7, Москва",19413.00,2015,17,4,352,55.93006957,37.5401555
"ш. Дмитровское, д. 169, к. 8, Москва",26169.00,2016,17,6,416,55.93125957,37.5400835
"ш. Дмитровское, д. 169, к. 2, Москва",16824.00,2016,17,5,336,55.93048857,37.5435335
"ул. Донецкая, д. 20, к. 1, Москва",7767.30,2005,17,1,75,55.64896157,37.7134495
"ул. Дубнинская, д. 15, к. 2, Москва",7680.00,2001,17,2,128,55.86069607,37.566072
"ул. Дубнинская, д. 22, к. 4, Москва",4969.50,2008,17,1,74,55.87191507,37.562227
"ул. Дубнинская, д. 22, к. 6, Москва",4948.70,2008,17,1,80,55.87262707,37.5616435
"ул. Дубнинская, д. 32, к. 5, Москва",14949.00,2000,17,4,264,55.88223257,37.5598195
"ул. Дубнинская, д. 39, Москва",17118.00,2004,17,5,286,55.86759157,37.56282
"ул. Дубнинская, д. 53, к. 1, Москва",14511.00,2007,17,5,296,55.87211207,37.55849
"ул. Дубнинская, д. 53, к. 3, Москва",22716.00,2006,17,5,378,55.87294007,37.557044
"ул. Дыбенко, д. 14, к. 1, Москва",11305.80,2004,17,3,190,55.87078357,37.48499
"ул. Дыбенко, д. 36, к. 1, Москва",11740.40,2007,17,4,192,55.87593507,37.484451
"ул. Дыбенко, д. 36, к. 4, Москва",6419.00,2006,17,2,128,55.87715207,37.4859245
"ул. Ельнинская, д. 20, к. 2, Москва",23652.30,2007,17,6,838,55.73985807,37.4218835
"аллея. Жемчуговой, д. 5, к. 3, Москва",15336.90,2000,17,4,262,55.73201257,37.823664
"ул. Живописная, д. 36, к. 2, Москва",9086.00,2000,17,2,135,55.79423407,37.4570255
"ш. Загородное, д. 8, к. 3, Москва",8655.40,2006,17,2,128,55.69401257,37.601699
"ул. Загорьевская, д. 23, к. 1, Москва",45964.00,2002,17,6,495,55.58318457,37.6925635
"пр-кт. Защитников Москвы, д. 1, Москва",16065.90,2012,17,4,306,55.69820857,37.9149145
"пр-кт. Защитников Москвы, д. 5, Москва",15193.00,2011,17,4,256,55.69942607,37.916864
"пр-кт. Защитников Москвы, д. 9, к. 1, Москва",15044.00,2011,17,4,256,55.70095307,37.9193075
"пр-кт. Защитников Москвы, д. 12, Москва",29570.70,2013,17,6,384,55.70171907,37.923781
"пр-кт. Защитников Москвы, д. 15, Москва",22610.90,2013,17,6,384,55.70398157,37.923808
"ул. Зеленоградская, д. 21, к. 1, Москва",7744.00,2001,17,2,134,55.87291507,37.49665
"ул. Зеленоградская, д. 25, к. 1, Москва",7699.80,2005,17,2,128,55.87308707,37.4944225
"ул. Зеленодольская, д. 36, к. 2, Москва",29113.00,2001,17,5,227,55.70929207,37.7647345
"ул. Ивана Сусанина, д. 6, к. 2, Москва",19848.90,2004,17,3,256,55.86935957,37.527642
"ул. Ивовая, д. 6, к. 2, Москва",15308.00,2008,17,4,262,55.85967507,37.6457795
"б-р. Измайловский, д. 40, Москва",19180.90,2000,17,5,323,55.79622807,37.80382
"ул. Кадырова, д. 4, Москва",13216.90,2004,17,3,193,55.53854507,37.5125775
"ул. Кадырова, д. 8, к. 3, Москва",13088.00,2004,17,3,195,55.53826957,37.5101695
"наб. Карамышевская, д. 12, к. 1, Москва",13816.50,2009,17,2,164,55.76980307,37.4816215
"наб. Карамышевская, д. 28, к. 1, Москва",10347.90,2009,17,3,164,55.76943857,37.4765905
"ул. Кашенкин Луг, д. 6, к. 3, Москва",18345.00,2010,17,5,308,55.82588107,37.5981955
"ул. Клинская, д. 10, к. 1, Москва",7617.10,2007,17,2,128,55.86977857,37.496623
"ул. Клинская, д. 14, к. 2, Москва",9367.90,2008,17,3,156,55.86987957,37.495186
"ул. Клинская, д. 18, к. 2, Москва",11412.00,2005,17,3,192,55.87189507,37.4916915
"ул. Клязьминская, д. 11, к. 2, Москва",14846.30,2000,17,3,203,55.88765957,37.5231775
"пер. Ковров, д. 28, стр. 1, Москва",8784.00,2003,17,2,126,55.74453557,37.6847665
"ул. Коктебельская, д. 11, Москва",21530.70,2005,17,5,320,55.56432257,37.5861495
"ул. Коломенская, д. 21, к. 3, Москва",14849.60,2007,17,5,132,55.67715857,37.6953485
"ул. Корнейчука, д. 20, Москва",7945.00,2002,17,2,135,55.90095057,37.613503
"ул. Корнея Чуковского, д. 5, Москва",15117.40,2016,17,3,192,55.63727107,37.3259615
"ш. Коровинское, д. 21, к. 3, Москва",8122.10,2002,17,1,135,55.87564207,37.523456
"ул. Красного Маяка, д. 15, к. 5, Москва",12094.60,2000,17,3,192,55.60814457,37.5859695
"б-р. Кронштадтский, д. 30, Москва",14430.00,2005,17,2,155,55.85009007,37.5115355
"ул. Лавриненко, д. 3, Москва",9954.90,2018,17,3,192,55.70142957,37.944523
"г. Московский, ул. Лаптева, д. 4, Москва",28983.70,2017,17,6,400,55.60069957,37.3664935
"г. Московский, ул. Лаптева, д. 8, к. 3, Москва",22675.60,2017,17,5,334,55.59938207,37.362882
"ул. Лебедянская, д. 32, Москва",41210.20,2003,17,9,625,55.58529057,37.692905
"ш. Ленинградское, д. 108, к. 3, Москва",8486.90,2007,17,2,128,55.86115557,37.4682905
"пр-кт. Лермонтовский, д. 16, Москва",11475.00,2008,17,3,192,55.69740657,37.857638
"ул. Летчика Бабушкина, д. 41, Москва",9226.00,2017,17,3,168,55.87603107,37.67749
"ул. Летчика Грицевца (п Внуковское), д. 5, Москва",24225.50,2013,17,5,326,55.62369657,37.305399
"ул. Летчика Грицевца (п Внуковское), д. 9, Москва",15506.10,2013,17,4,232,55.62360007,37.3091715
"ул. Летчика Грицевца (п Внуковское), д. 11, Москва",29290.80,2013,17,6,390,55.62426607,37.309585
"ул. Липчанского, д. 2, Москва",25112.30,2016,17,5,320,55.70418407,37.9341205
"ул. Липчанского, д. 5, к. 1, Москва",17284.00,2013,17,5,324,55.70539707,37.9369775
"ул. Липчанского, д. 9, Москва",34988.00,2013,17,4,260,55.70574157,37.9405165
"ул. Лобачевского, д. 6, Москва",12666.00,2014,17,3,188,55.66623357,37.506756
"ул. Лобачевского, д. 52, к. 1, Москва",13348.00,2002,17,2,120,55.67219907,37.4923295
"пр-кт. Ломоносовский, д. 25, к. 2, Москва",96016.50,2010,17,6,382,55.69519457,37.530229
"ул. Лукинская, д. 8, к. 3, Москва",13253.00,2012,17,3,192,55.65144007,37.3406485
"ул. Лукинская, д. 16, Москва",21854.00,2006,17,5,320,55.64581157,37.339409
"ул. Лухмановская, д. 15, к. 4, Москва",41225.40,2007,17,14,787,55.72235507,37.8917025
"ул. Лухмановская, д. 29, Москва",22777.80,2007,17,7,376,55.72347507,37.9032005
"ул. Льва Яшина, д. 1, Москва",14601.70,2014,17,3,192,55.69890857,37.9215085
"ул. Льва Яшина, д. 9, Москва",14636.20,2014,17,3,192,55.69800557,37.9256315
"ул. Ляпидевского, д. 16, Москва",15326.70,2002,17,3,255,55.85817007,37.4953925
"пер. Новопесковский М., д. 8, Москва",30733.00,2006,17,1,96,55.74963257,37.5775705
"пр-кт. Маршала Жукова, д. 30, Москва",12106.20,2000,17,1,58,55.77636507,37.4747495
"пр-кт. Маршала Жукова, д. 43, к. 3, Москва",36992.60,2005,17,4,231,55.77422357,37.4687845
"пр-кт. Маршала Жукова, д. 68, к. 2, Москва",17280.50,2000,17,2,136,55.77967657,37.45681
"ул. Маршала Савицкого, д. 16, Москва",15352.10,2007,17,4,256,55.50437907,37.586787
"ул. Маршала Савицкого, д. 18, к. 1, Москва",11765.80,2008,17,3,192,55.50392507,37.588431
"ул. Маршала Савицкого, д. 22, Москва",10332.00,2008,17,3,192,55.50466407,37.5913055
"ул. Маршала Савицкого, д. 24, к. 1, Москва",12317.10,2008,17,3,192,55.50398107,37.592653
"ул. Маршала Савицкого, д. 30, Москва",19130.00,2009,17,5,320,55.50355307,37.5998035
"ул. Маршала Тухачевского, д. 16, к. 1, Москва",17110.70,2005,17,3,190,55.78248157,37.484927
"ул. Маршала Тухачевского, д. 33, Москва",23752.20,2001,17,4,266,55.78338257,37.4744795
"ул. Маршала Тухачевского, д. 60, Москва",8423.00,2000,17,1,117,55.78453157,37.4581935
"б-р. Матроса Железняка, д. 31, к. 1, Москва",7597.70,2004,17,2,133,55.83677707,37.530238
"ул. Международная, д. 28, стр. 1, Москва",10918.00,2004,17,3,189,55.74317757,37.6877485
"ул. Миклухо-Маклая, д. 34, Москва",13158.10,2003,17,2,101,55.63940007,37.5325825
"ул. Милашенкова, д. 5, к. 1, Москва",7594.00,2012,17,2,131,55.82301407,37.586356
"ул. Митинская, д. 28, к. 1, Москва",30860.50,2001,17,6,402,55.84514757,37.3697005
"пр-кт. Мичуринский, д. 6, к. 2, Москва",29915.80,2008,17,3,119,55.71409957,37.5245605
"пр-кт. Мичуринский, д. 7, к. 1, Москва",51885.00,2005,17,1,512,55.70171907,37.512245
"пр-кт. Мичуринский, д. 9, к. 2, Москва",17541.70,2000,17,3,192,55.70150607,37.509002
"пр-кт. Мичуринский, д. 11, к. 3, Москва",22051.00,2002,17,4,192,55.69931457,37.5112475
"пр-кт. Мичуринский, д. 21, к. 1, Москва",22787.00,2000,17,6,335,55.69937557,37.503738
"ул. Молодцова, д. 2, к. 1, Москва",11428.00,2008,17,3,197,55.87841957,37.643336
"ул. Молодцова, д. 9, Москва",26988.00,2002,17,7,461,55.87764207,37.6389615
"ул. Молодцова, д. 27, к. 3, Москва",11429.00,2007,17,3,197,55.87736907,37.6260885
"п. Московский, г. Московский, ул. Москвитина, д. 3, к. 1, Москва",22246.10,2016,17,5,320,55.59899057,37.358633
"п. Московский, г. Московский, ул. Москвитина, д. 7, Москва",31148.40,2017,17,7,448,55.59844657,37.362271
"ул. Мытная, д. 7, стр. 2, Москва",9237.80,2013,17,1,64,55.72240057,37.619953
"ул. Нарвская, д. 1А, к. 2, Москва",22597.50,2011,17,6,390,55.83030057,37.501555
"ул. Наташи Качуевской, д. 4, Москва",30353.50,2006,17,7,448,55.71236057,37.8825665
"пр-кт. Нахимовский, д. 33/2, Москва",34264.90,2000,17,9,574,55.67225507,37.577247
"пр-кт. Нахимовский, д. 67, к. 4, Москва",7577.90,2010,17,2,125,55.68012807,37.5556965
"ул. Недорубова, д. 11, Москва",13523.70,2016,17,3,192,55.70255107,37.9333035
"ул. Недорубова, д. 18, к. 2, Москва",13188.20,2016,17,3,192,55.70184057,37.93616
"ул. Недорубова, д. 20, к. 2, Москва",14865.10,2016,17,3,192,55.70280957,37.9368695
"ул. Некрасовская, д. 7, Москва",26443.00,2007,17,6,338,55.68116857,37.92441
"ул. Новаторов, д. 10, к. 2, Москва",18710.90,2010,17,3,197,55.66663957,37.520087
"пр-кт. Нововатутинский (п.Десеновское), д. 7, Москва",9458.50,2015,17,2,128,55.51703657,37.347997
"пр-кт. Нововатутинский (п.Десеновское), д. 14, Москва",30332.30,2018,17,4,379,55.52017607,37.3493805
"ш. Новокуркинское, д. 35, к. 2, Москва",7386.00,2003,17,1,96,55.89987557,37.39338
"ул. Новорогожская, д. 4, стр. 1, Москва",15631.00,2008,17,4,216,55.74182957,37.6810745
"ул. Новорогожская, д. 8, Москва",28069.00,2008,17,6,360,55.74103407,37.6840475
"ул. Новорогожская, д. 38, Москва",4592.00,2005,17,1,80,55.73875357,37.691899
"ул. Новороссийская, д. 3, Москва",6531.00,2007,17,2,128,55.68066057,37.761141
"ул. Новороссийская, д. 27, Москва",8729.00,2003,17,2,136,55.67115807,37.76221
"ул. Новороссийская, д. 30, к. 1, Москва",22847.00,2003,17,6,384,55.67124457,37.7592815
"ул. Новочеремушкинская, д. 49, Москва",45605.80,2002,17,12,771,55.67201607,37.570878
"ул. Новочеремушкинская, д. 57, к. 1, Москва",11481.60,2002,17,3,202,55.67029007,37.5691175
"ул. Обручева, д. 28, к. 7, Москва",8816.40,2005,17,3,195,55.65611307,37.5174015
"ул. Озерная, д. 2, к. 3, Москва",7541.00,2011,17,2,128,55.68855807,37.468407
"ул. Октябрьская, д. 103, к. 1, Москва",6206.05,2014,17,1,112,55.79855057,37.610826
"п. Внуковское, ул. Омская, д. 17, Москва",15891.00,2017,17,3,235,55.61951307,37.2640315
"п. Внуковское, ул. Омская, д. 20, Москва",13966.10,2016,17,3,218,55.61869457,37.262145
"ул. Онежская, д. 13, к. 1, Москва",11598.50,2002,17,2,136,55.84980757,37.518605
"ул. Онежская, д. 51, к. 1, Москва",10670.50,2009,17,3,192,55.85846807,37.506316
"ул. Островитянова, д. 5, к. 2, Москва",17909.60,2003,17,3,269,55.64643157,37.4948355
"ул. Отрадная, д. 12, Москва",14380.00,2004,17,4,228,55.85615907,37.6116615
"ул. Палехская, д. 133, Москва",11395.00,2003,17,3,202,55.87589507,37.7081945
"ул. Партизанская, д. 24, Москва",19017.40,2008,17,5,640,55.73551507,37.413116
"ул. Перерва, д. 62, к. 2, Москва",19278.00,2000,17,5,320,55.66477157,37.765992
"ул. Перовская, д. 22, к. 2, Москва",11276.50,2002,17,3,405,55.74621807,37.7687855
"ул. Перовская, д. 36, к. 3, Москва",16508.90,2004,17,3,201,55.74427207,37.7776075
"ш. Перовское, д. 6, Москва",11474.00,2002,17,3,203,55.73461257,37.7445135
"ул. Плеханова, д. 29, к. 1, Москва",23536.00,2003,17,4,270,55.74187007,37.768642
"ул. Покровская, д. 17, к. 3, Москва",19045.40,2018,17,4,320,55.69990257,37.932989
"ул. Покровская, д. 17, к. 2, Москва",7478.40,2018,17,2,160,55.69851257,37.9364115
"ул. Покровская, д. 21, Москва",23799.00,2015,17,5,320,55.70142457,37.9300335
"ул. Полины Осипенко, д. 16, Москва",25234.00,2001,17,6,390,55.78017257,37.531316
"ул. Полины Осипенко, д. 18, к. 2, Москва",30340.00,2001,17,7,466,55.78153457,37.5307325
"ул. Полины Осипенко, д. 22, к. 4, Москва",11463.00,2001,17,3,203,55.78174707,37.5264115
"ул. Полины Осипенко, д. 22, к. 3, Москва",19450.00,2001,17,5,329,55.78220257,37.52757
"ул. Полярная, д. 1, к. 2, Москва",7504.40,2017,17,2,128,55.87174807,37.635961
"ул. Полярная, д. 9, к. 2, Москва",16004.00,2012,17,5,327,55.87431907,37.6335085
"ул. Полярная, д. 52, к. 1, Москва",19122.00,2001,17,5,338,55.88935107,37.646462
"ул. Полярная, д. 54, к. 2, Москва",7637.00,2001,17,2,127,55.89201107,37.6472165
"ул. Псковская, д. 5, к. 3, Москва",22215.00,2006,17,7,424,55.90507357,37.547926
"ул. Пудовкина, д. 7, Москва",56805.00,2011,17,3,439,55.72692307,37.5283065
"ул. Рабочая, д. 6, к. 1, Москва",11822.00,2000,17,3,199,55.74423657,37.6805265
"ул. Раменки, д. 31, Москва",15827.00,2001,17,3,255,55.68950707,37.4905955
"ул. Рождественская, д. 8, Москва",19316.50,2011,17,6,376,55.70083157,37.9143755
"ул. Рождественская, д. 14, Москва",26564.00,2011,17,7,475,55.70304807,37.918418
"ул. Рождественская, д. 21, к. 5, Москва",20176.90,2010,17,4,640,55.70679707,37.915741
"ул. Рождественская, д. 23/33, Москва",50999.00,2010,17,6,960,55.70557907,37.920673
"ул. Рождественская, д. 27, к. 2, Москва",7683.80,2012,17,2,129,55.70769907,37.923341
"ул. Рождественская, д. 34, Москва",15319.40,2013,17,2,192,55.70050657,37.9252095
"ул. Россошанская, д. 2, к. 4, Москва",6734.00,2007,17,1,68,55.59401557,37.6050855
"ул. Россошанская, д. 4, к. 1, Москва",27880.20,2009,17,6,384,55.59318157,37.6111135
"ул. Россошанская, д. 10, Москва",19281.00,2005,17,5,320,55.59195557,37.614123
"ул. Рудневка, д. 39, Москва",17619.40,2005,17,5,311,55.71792857,37.8932115
"проезд. Русанова, д. 9, Москва",21727.90,2012,17,6,394,55.85574957,37.6440815
"пр-кт. Рязанский, д. 60, к. 4, Москва",20845.00,2004,17,5,338,55.71494657,37.7993555
"пр-кт. Рязанский, д. 60, к. 3, Москва",6078.00,2002,17,1,102,55.71445457,37.8010265
"ул. Самеда Вургуна, д. 7, Москва",5783.00,2017,17,1,74,55.80814907,37.526672
"ул. Самуила Маршака (п Внуковское), д. 19, Москва",20831.20,2016,17,4,256,55.63470457,37.3241825
"ул. Самуила Маршака (п Внуковское), д. 22, Москва",30747.10,2016,17,6,384,55.63551807,37.3221795
"ул. Самуила Маршака (п Внуковское), д. 23, Москва",25543.40,2016,17,5,320,55.63490307,37.3199605
"ул. Саранская, д. 7, Москва",30486.00,2007,17,9,512,55.69314007,37.856551
"ул. Севанская, д. 52, к. 2, Москва",15156.00,2004,17,4,260,55.62519607,37.651924
"ул. Седова, д. 2, к. 1, Москва",34669.00,2003,17,9,607,55.85217707,37.644459
"ул. Селигерская, д. 2, Москва",11974.60,2014,17,4,225,55.86203957,37.5557055
"ул. Селигерская, д. 18, к. 1, Москва",11332.00,2010,17,3,161,55.86610157,37.5528755
"ул. Сергея Макеева, д. 9, к. 3, Москва",13429.40,2017,17,2,106,55.76215057,37.550091
"б-р. Симферопольский, д. 19, к. 1, Москва",27564.00,2000,17,6,397,55.65037857,37.606487
"б-р. Симферопольский, д. 24, к. 1, Москва",13919.00,2009,17,4,256,55.64581157,37.603262
"б-р. Симферопольский, д. 29, к. 1, Москва",23031.00,2002,17,5,330,55.64755957,37.606478
"б-р. Сиреневый, д. 59, Москва",4345.10,2007,17,1,64,55.80361557,37.81716
"ул. Смольная, д. 51, к. 2, Москва",19426.80,2007,17,4,261,55.86405057,37.476429
"ул. Снайперская, д. 2, к. 2, Москва",8729.10,2000,17,2,136,55.72476807,37.815687
"ул. Снежная, д. 19, Москва",11490.80,2005,17,3,192,55.85509807,37.6499025
"пр-кт. Солнцевский, д. 4, Москва",24764.70,2005,17,7,436,55.65332457,37.3981945
"пр-кт. Солнцевский, д. 12, Москва",30338.50,2006,17,6,374,55.65092707,37.4038365
"ул. Соловьиная Роща, д. 8, к. 2, Москва",5539.00,2005,17,1,62,55.89153707,37.4025785
"ул. Сочинская, д. 3, к. 1, Москва",7686.00,2012,17,2,129,55.70848057,37.925865
"ул. Сталеваров, д. 14, к. 5, Москва",16263.30,2000,17,3,202,55.75870107,37.837525
"ул. Старослободская, д. 3, Москва",16663.00,2001,17,1,84,55.79103007,37.6702045
"проезд. Сумской, д. 19, Москва",15014.00,2004,17,2,127,55.63104557,37.593183
"ул. Сходненская, д. 14, Москва",12273.00,2011,17,4,231,55.84106857,37.4394725
"ул. Талдомская, д. 17, к. 1, Москва",24964.00,2002,17,7,400,55.87432907,37.5235005
"ул. Татьяны Макаровой, д. 3, Москва",35877.70,2006,17,8,512,55.71146257,37.8841745
"ул. Ташкентская, д. 34, к. 5, Москва",11517.00,2003,17,3,191,55.69761457,37.7970465
"ул. Трофимова, д. 9, к. 2, Москва",13825.00,2004,17,2,138,55.70427057,37.6666835
"ул. Туристская, д. 33, Москва",18066.50,2004,17,4,320,55.85953907,37.4190175
"ул. Удальцова, д. 71, к. 3, Москва",11352.80,2015,17,3,177,55.67708257,37.49948
"ул. Ухтомского Ополчения, д. 1, Москва",12816.40,2013,17,3,192,55.70095807,37.9245085
"ул. Ухтомского Ополчения, д. 4, Москва",18088.70,2013,17,4,256,55.69966457,37.925389
"ул. Федора Полетаева, д. 4, к. 1, Москва",10977.20,2001,17,2,133,55.71483557,37.7752805
"ул. Фестивальная, д. 22, к. 2, Москва",16070.10,2003,17,5,273,55.85887207,37.5001355
"ул. Фестивальная, д. 30, к. 2, Москва",10660.20,2010,17,3,192,55.85995807,37.504232
"ул. Фестивальная, д. 73, к. 2, Москва",7560.30,2001,17,2,134,55.86376757,37.5072325
"проезд. Харьковский, д. 7, к. 3, Москва",7416.20,2000,17,2,128,55.59179257,37.6409375
"проезд. Харьковский, д. 9, к. 3, Москва",15841.80,2000,17,5,335,55.59053107,37.6425095
"ул. Херсонская, д. 17, Москва",7323.00,2009,17,2,111,55.65252707,37.5632425
"ул. Хлобыстова, д. 10, к. 1, Москва",7520.10,2016,17,1,128,55.72002257,37.8019515
"ул. Хованская, д. 6, Москва",27106.60,2002,17,8,429,55.82661457,37.623007
"ул. Цюрупы, д. 8, к. 1, Москва",22976.80,2000,17,6,383,55.67107207,37.5753695
"ш. Челобитьевское, д. 12, к. 3, Москва",16368.00,2007,17,4,260,55.91302557,37.550513
"б-р. Черноморский, д. 4, к. 1, Москва",8521.00,2009,17,2,128,55.64577107,37.6159555
"б-р. Черноморский, д. 10, к. 2, Москва",7904.60,2001,17,2,135,55.64658357,37.6083825
"ул. Чертановская, д. 45, к. 2, Москва",17526.70,2000,17,4,271,55.60656307,37.5914945
"проезд. Чечерский, д. 124, к. 3, Москва",27768.10,2015,17,5,331,55.52546107,37.5098375
"ул. Шверника, д. 11, к. 3, Москва",23772.90,2000,17,7,352,55.69248007,37.5880985
"ш. Шелепихинское, д. 13, стр. 2, Москва",11538.00,2002,17,3,202,55.75825007,37.5216235
"проезд. Шипиловский, д. 57, к. 1, Москва",19051.00,2000,17,5,339,55.60423407,37.706236
"ул. Широкая, д. 7, к. 2, Москва",7822.00,2000,17,2,135,55.88897207,37.655553
"проезд. Шокальского, д. 11, Москва",15365.00,2004,17,4,259,55.87565707,37.6446745
"проезд. Шокальского, д. 29, к. 5, Москва",19242.00,2008,17,5,320,55.88177757,37.6445485
"ш. Щелковское, д. 26, к. 2, Москва",32004.40,2000,17,6,401,55.80887707,37.7791615
"ул. Энергетическая, д. 2, к. 2, Москва",42281.00,2012,17,3,255,55.76110707,37.7005855
"ш. Энтузиастов, д. 11А, к. 3, Москва",13743.00,2000,17,4,222,55.75326557,37.7144105
"г. Щербинка, ул. Юбилейная, д. 18, Москва",20635.10,2004,17,4,268,55.50704507,37.571911
"проезд. Юрловский, д. 14, к. 2, Москва",17972.00,2011,17,4,256,55.87801557,37.610853
"ул. Яблочкова, д. 18, Москва",13431.00,2009,17,4,216,55.82120357,37.5811725
"ш. Ярославское, д. 26А, Москва",8778.40,2004,17,2,126,55.85435507,37.6941265
"ул. Ярцевская, д. 14, Москва",22801.00,2013,17,6,389,55.73756757,37.41193
"проезд. Ясный, д. 2, Москва",5868.40,2016,17,2,116,55.87162207,37.6320445
"проезд. Ясный, д. 8, к. 3, Москва",11382.00,2012,17,3,197,55.87439507,37.63111
"проезд. Ясный, д. 16, Москва",15110.00,2014,17,4,250,55.87485407,37.6243905
"проезд. Ясный, д. 32, Москва",9886.80,2015,17,3,172,55.87828357,37.6200425
"г. Зеленоград, к. 313, Москва",18597.30,2005,16,8,307,56.00020057,37.215145
"ул. 1905 года, д. 19, Москва",10486.20,2002,16,3,170,55.76670857,37.558643
"ул. Дубровская 1-я, д. 1, к. 4, Москва",17717.00,2002,16,3,150,55.72996957,37.6698545
"ул. Парковая 11-я, д. 52, Москва",20611.70,2014,16,6,297,55.80829007,37.807144
"ул. Мелитопольская 2-я, д. 5, к. 1, Москва",4091.90,2001,16,1,64,55.53872307,37.5742285
"ул. Филевская 2-я, д. 8, к. 1, Москва",9135.00,2012,16,1,100,55.73695407,37.4942065
"ул. Марьиной Рощи 4-я, д. 3, Москва",12106.00,2017,16,1,88,55.79390507,37.6229715
"ул. Текстильщиков 8-я, д. 13, к. 2, Москва",41309.00,2001,16,5,518,55.70473207,37.745304
"ул. Адмирала Лазарева, д. 19, к. 1, Москва",9827.20,2003,16,3,188,55.54547707,37.533023
"ул. Адмирала Лазарева, д. 27, Москва",12744.20,2003,16,3,153,55.54602207,37.529744
"ул. Адмирала Лазарева, д. 35, Москва",7488.90,2003,16,2,180,55.54353657,37.5247495
"ул. Адмирала Лазарева, д. 50, к. 1, Москва",10356.00,2001,16,2,128,55.54323607,37.52024
"ул. Академика Виноградова, д. 9, Москва",40385.00,2013,16,5,311,55.63382057,37.4868315
"ул. Академика Семенова, д. 11, к. 1, Москва",24645.00,2001,16,5,287,55.54141757,37.5097565
"ул. Беловежская, д. 17, к. 2, Москва",14111.30,2006,16,3,137,55.71408457,37.39541
"проезд. Береговой, д. 7, Москва",14269.50,2008,16,5,240,55.75494207,37.5051215
"ул. Марьинская Б., д. 11, Москва",13495.50,2017,16,4,240,55.80642357,37.6339845
"ул. Якиманка Б., д. 22, к. 3, Москва",35581.00,2007,16,1,115,55.73825207,37.613449
"ул. Бориса Жигуленкова, д. 7, Москва",12045.00,2012,16,2,133,55.77567157,37.732925
"ш. Варшавское, д. 152, к. 11, Москва",9833.60,2006,16,3,180,55.59014407,37.5972975
"ул. Вешняковская, д. 3, к. 1, Москва",20310.00,2001,16,2,103,55.73835307,37.8221275
"ул. Вилиса Лациса, д. 5, к. 1, Москва",12571.20,2002,16,4,208,55.86338357,37.4307225
"б-р. Волжский, д. 29, к. 1, Москва",18854.50,2002,16,5,319,55.70344907,37.7513405
"ул. Вяземская, д. 10, Москва",19720.60,2012,16,4,213,55.71353657,37.402794
"г. Зеленоград, пр-кт. Георгиевский, д. 37, к. 2, Москва",56340.00,2018,16,10,640,55.96691157,37.150646
"ул. Госпитальный Вал, д. 5, стр. 12, Москва",10303.40,2004,16,3,163,55.77309407,37.7060745
"ул. Грина, д. 36, Москва",14671.50,2001,16,4,217,55.56878707,37.5668805
"ул. Гурьянова, д. 2, к. 4, Москва",17222.00,2006,16,5,300,55.69362707,37.719639
